"Categories","Year","Amount"
"Sales/Revenue","2018","301,372"
"Sales/Revenue","2019","587,224"
"Sales/Revenue","2020","796,283"
"Sales/Revenue","2021","1,255,926"
"Sales/Revenue","2022","1,776,154"
"Sales Growth","2018","-"
"Sales Growth","2019","94.85%"
"Sales Growth","2020","35.60%"
"Sales Growth","2021","57.72%"
"Sales Growth","2022","41.42%"
"Cost of Goods Sold (COGS) incl. D&A","2018","193,827"
"Cost of Goods Sold (COGS) incl. D&A","2019","394,796"
"Cost of Goods Sold (COGS) incl. D&A","2020","448,624"
"Cost of Goods Sold (COGS) incl. D&A","2021","697,369"
"Cost of Goods Sold (COGS) incl. D&A","2022","1,019,465"
"COGS excluding D&A","2018","189,857"
"COGS excluding D&A","2019","385,483"
"COGS excluding D&A","2020","413,677"
"COGS excluding D&A","2021","614,074"
"COGS excluding D&A","2022","900,588"
"Depreciation & Amortization Expense","2018","3,970"
"Depreciation & Amortization Expense","2019","9,313"
"Depreciation & Amortization Expense","2020","34,947"
"Depreciation & Amortization Expense","2021","83,295"
"Depreciation & Amortization Expense","2022","118,877"
"Depreciation","2018","2,852"
"Depreciation","2019","8,081"
"Depreciation","2020","21,426"
"Depreciation","2021","36,138"
"Depreciation","2022","50,131"
"Amortization of Intangibles","2018","1,118"
"Amortization of Intangibles","2019","1,233"
"Amortization of Intangibles","2020","13,521"
"Amortization of Intangibles","2021","47,157"
"Amortization of Intangibles","2022","68,746"
"Amortization of Deferred Charges","2018","-"
"Amortization of Deferred Charges","2019","-"
"Amortization of Deferred Charges","2020","-"
"Amortization of Deferred Charges","2021","-"
"Amortization of Deferred Charges","2022","-"
"COGS Growth","2018","-"
"COGS Growth","2019","103.68%"
"COGS Growth","2020","13.63%"
"COGS Growth","2021","55.45%"
"COGS Growth","2022","46.19%"
"Gross Income","2018","107,545"
"Gross Income","2019","192,429"
"Gross Income","2020","347,659"
"Gross Income","2021","558,558"
"Gross Income","2022","756,689"
"Gross Income Growth","2018","-"
"Gross Income Growth","2019","78.93%"
"Gross Income Growth","2020","80.67%"
"Gross Income Growth","2021","60.66%"
"Gross Income Growth","2022","35.47%"
"Gross Profit Margin","2018","-"
"Gross Profit Margin","2019","-"
"Gross Profit Margin","2020","-"
"Gross Profit Margin","2021","-"
"Gross Profit Margin","2022","42.60%"
"SG&A Expense","2018","27,614"
"SG&A Expense","2019","93,686"
"SG&A Expense","2020","202,016"
"SG&A Expense","2021","368,917"
"SG&A Expense","2022","519,565"
"Research & Development","2018","1,435"
"Research & Development","2019","1,324"
